   Sex  BMIcat       BMIquant  Age  DGestimate  DGerror  SBestimate  SBerror
    1   underweight   17.82     68      25        -43        46        -22  
    2   underweight   14.85     25      25          0        25          0  
    1   normal        23.48     32      25         -7        35          3  
    1   underweight   17.27     33      39          6        46         13  
    1   overweight    25.86     45      32        -13        46          1  
    1   overweight    26.62     32      15        -17        29         -3  
    1   normal        18.66     46      32        -14        35        -11  
    1   normal        19.03     50      32        -18        35        -15  
    1   overweight    29        34      32         -2        46         12  
    2   underweight   17.69     45      15        -30        38         -7  
    1   normal        19.24     64      44        -20        61         -3  
    1   normal        24.41     63      44        -19        46        -17  
    2   normal        22.79     71      32        -39        48        -23  
    2   normal        22.42     60      44        -16        60          0  
    1   overweight    27.14     58      32        -26        46        -12  
    2   normal        21.26     60      44        -16        60          0  
    1   obese         31.75     60      66          6        46        -14  
    1   normal        24.41     39      32         -7        35         -4  
    2   underweight   10.06     37      25        -12        31         -6  
    1   overweight    27.12     39      32         -7        35         -4  
    1   overweight    26.45     33      25         -8        35          2  
    2   normal        21.56     43      25        -18        38         -5  
    2   overweight    27.78     52      32        -20        31        -21  
    1   normal        22.43     63      50        -13        46        -17  
    1   normal        18.88     49      30        -19        46         -3  
    1   overweight    27.15     40      32         -8        35         -5  
    1   underweight   17.18     35      44          9        46         11  
    1   underweight   16.4      50      32        -18        46         -4  
    2   underweight   17.04     65      32        -33        38        -27  
    2   normal        23.89     46      50          4        48          2  
    2   normal        21.12     49      32        -17        38        -11  
    2   obese         33.84     50      57          7        48         -2  
    1   overweight    29.62     50      44         -6        61         11  
    1   normal        22.02     50      44         -6        35        -15  
    1   underweight   14.95     29      32          3        29          0  
    2   normal        19.9      39      25        -14        38         -1  
    1   underweight   14.05     51      32        -19        61         10  
    1   normal        21.73     38      32         -6        35         -3  
    2   underweight   16.66     50      44         -6        38        -12  
    1   normal        22.53     19      16         -3        18         -1  
    1   underweight   14.95     67      32        -35        46        -21  
    1   normal        21.99     47      44         -3        46         -1  
    1   normal        19.26     22      44         22        23          1  
    2   underweight   17.01     50      32        -18        48         -2  
    1   normal        23.24     65      44        -21        61         -4  
    1   normal        24.2      82      50        -32        46        -36  
    1   obese         34.53     44      32        -12        35         -9  
    1   normal        19.61     70      32        -38        46        -24  
    1   normal        20.3      49      44         -5        46         -3  
    2   overweight    29.72     47      32        -15        29        -18  
    1   normal        20.14     61      39        -22        61          0  
    1   normal        19.75     47      32        -15        46         -1  
    1   overweight    25.25     30      32          2        29         -1  
    2   underweight   23.68     70      61         -9        60        -10  
    1   normal        23.94     55      32        -23        46         -9  
    2   overweight    29.07     38      44          6        31         -7  
    1   normal        23.73     53      32        -21        46         -7  
    1   normal        23.61     46      32        -14        35        -11  
    1   normal        23.78     40      32         -8        35         -5  
    1   normal        20.4      71      39        -32        46        -25  
    1   normal        20.27     50      44         -6        46         -4  
    2   underweight   14.84     85      50        -35        60        -25  
    1   normal        24.59     48      44         -4        46         -2  
    1   normal        24.99     70      32        -38        46        -24  
    1   normal        19.96     50      44         -6        46         -4  
    1   normal        24.76     50      32        -18        46         -4  
    2   overweight    26.58     70      25        -45        48        -22  
    1   overweight    28.69     39      32         -7        46          7  
    1   normal        23.02     45      44         -1        35        -10  
    1   normal        22.81     45      32        -13        46          1  
    1   normal        24.47     38      44          6        29         -9  
    1   overweight    28.7      61      44        -17        61          0  
    1   normal        21.09     59      44        -15        46        -13  
    1   overweight    27.6      55      44        -11        61          6  
    2   underweight   18.15     61      25        -36        48        -13  
    1   normal        22.73     23      32          9        35         12  
    2   normal        20.23     75      32        -43        60        -15  
    1   underweight   16.54     70      44        -26        46        -24  
    2   underweight   17.9      50      25        -25        48         -2  
    1   normal        22.77     59      50         -9        46        -13  
    1   normal        19.67     39      50         11        35         -4  
    2   obese         35.51     72      44        -28        48        -24  
    1   normal        21.69     41      44          3        61         20  
    1   normal        20.09     74      44        -30        61        -13  
    1   overweight    25.12     35      25        -10        35          0  
    1   normal        24.95     38      32         -6        35         -3  
    1   normal        23.52     38      57         19        35         -3  
    1   normal        21.7      54      57          3        61          7  
    1   underweight   16.3      41      32         -9        46          5  
    1   overweight    27.38     35      32         -3        35          0  
    2   overweight    26.63     40      57         17        38         -2  
    1   obese         31.85     38      25        -13        35         -3  
    2   normal        20.78     56      39        -17        48         -8  
    2   normal        20.39     48      44         -4        38        -10  
    2   normal        24.64     27      16        -11        31          4  
    1   normal        24.03     49      32        -17        35        -14  
    1   normal        23.43     64      57         -7        46        -18  
    1   underweight   16.77     60      39        -21        35        -25  
    1   overweight    26.65     68      32        -36        46        -22  
    2   underweight   14.57     40      25        -15        38         -2  
    1   underweight   16.37     42      50          8        46          4  
    1   normal        24.77     40      32         -8        35         -5  
    1   normal        22.42     78      32        -46        61        -17  
    1   normal        19.46     53      50         -3        46         -7  
    1   underweight   12.92     68      44        -24        46        -22  
    1   normal        20.26     41      50          9        35         -6  
    1   normal        24.61     64      44        -20        46        -18  
    1   overweight    27.38     30      25         -5        35          5  
    2   normal        19.72     68      32        -36        60         -8  
    1   normal        24.33     25      32          7        29          4  
    2   normal        20.57     50      32        -18        48         -2  
    2   obese         31.57     34      32         -2        38          4  
    1   normal        21.72     39      44          5        35         -4  
    1   overweight    26.25     38      25        -13        35         -3  
    1   normal        22.81     58      25        -33        46        -12  
    1   normal        19.77     43      32        -11        35         -8  
    2   normal        22.25     44      32        -12        31        -13  
    1   overweight    29.84     36      32         -4        46         10  
    1   underweight   14.2      49      44         -5        46         -3  
    1   underweight   15.58     26      32          6        29          3  
    2   normal        18.53     67      32        -35        48        -19  
    1   normal        22.49     44      32        -12        46          2  
    1   normal        20.51     70      44        -26        46        -24  
    2   normal        19.77     69      25        -44        60         -9  
    2   normal        22.97     43      39         -4        38         -5  
    1   overweight    29.44     44      32        -12        46          2  
    2   obese         30.79     54      61          7        60          6  
    1   normal        19.04     40      32         -8        35         -5  
    1   overweight    25.29     53      32        -21        46         -7  
    2   overweight    29.23     50      32        -18        60         10  
    1   underweight   15.06     68      32        -36        46        -22  
    2   overweight    25.68     68      25        -43        60         -8  
    1   normal        22.28     45      32        -13        46          1  
    2   overweight    27.3      35      25        -10        38          3  
    1   obese         31.32     46      57         11        46          0  
    1   normal        23.99     56      39        -17        35        -21  
    1   overweight    26.61     62      57         -5        46        -16  
    2   normal        22.87     42      32        -10        38         -4  
    1   normal        22.86     50      32        -18        46         -4  
    1   overweight    29.82     47      32        -15        46         -1  
    2   normal        21.18     60      39        -21        60          0  
    2   normal        18.7      76      25        -51        48        -28  
    1   normal        22.77     44      44          0        46          2  
    1   underweight   14.9      62      32        -30        46        -16  
    1   normal        24.67     69      58        -11        46        -23  
    2   normal        20.6      40      32         -8        38         -2  
    2   underweight   15.71     33      25         -8        38          5  
    1   normal        22.38     58      44        -14        61          3  
    1   underweight   17.38     84      57        -27        61        -23  
    1   normal        21.23     64      57         -7        61         -3  
    1   underweight   17.21     60      44        -16        46        -14  
    1   overweight    25.79     19      16         -3        18         -1  
    2   normal        24.22     25      12        -13        19         -6  
    1   normal        22.87     59      44        -15        46        -13  
    1   underweight   16.02     51      44         -7        46         -5  
    1   normal        18.72     51      44         -7        46         -5  
    2   overweight    25.39     35      32         -3        38          3  
    1   normal        18.97     57      39        -18        61          4  
    2   normal        22.43     35      44          9        38          3  
    1   overweight    29.99     43      32        -11        46          3  
    1   overweight    26.96     67      50        -17        61         -6  
    1   overweight    29.08     78      50        -28        61        -17  
    1   normal        19.97     43      39         -4        46          3  
    2   underweight   11.79     51      32        -19        48         -3  
    2   normal        21.27     78      20        -58        60        -18  
    2   overweight    29.26     66      50        -16        60         -6  
    2   normal        20.5      65      32        -33        48        -17  
    1   normal        21.32     63      57         -6        61         -2  
    1   normal        22.46     57      32        -25        46        -11  
    1   normal        18.82     60      44        -16        46        -14  
    2   normal        20.81     40      32         -8        38         -2  
    1   underweight   18.16     58      44        -14        46        -12  
    1   overweight    29.38     62      44        -18        46        -16  
    1   overweight    28.08     68      44        -24        46        -22  
    2   obese         33.72     60      32        -28        48        -12  
    1   normal        19.9      30      25         -5        29         -1  
    2   underweight   16.86     42      30        -12        38         -4  
    1   overweight    29.2      56      39        -17        46        -10  
    1   overweight    26.6      51      32        -19        46         -5  
    1   normal        19.18     70      32        -38        61         -9  
    2   underweight   14.17     31      20        -11        38          7  
    2   normal        23.03     71      57        -14        NA         NA  
    1   normal        23.68     73      44        -29        46        -27  
    1   normal        21        20      25          5        35         15  
    1   overweight    28.35     54      50         -4        35        -19  
    1   underweight   14.85     35      25        -10        29         -6  
    1   underweight   16.85     68      32        -36        46        -22  
    1   overweight    26.63     54      57          3        46         -8  
    1   obese         31.2      44      32        -12        46          2  
    1   underweight   16.25     59      44        -15        35        -24  
    1   normal        19.41     35      25        -10        29         -6  
    2   underweight   15.94     85      61        -24        60        -25  
    1   overweight    29.11     38      44          6        46          8  
    1   normal        23.92     55      32        -23        46         -9  
    2   overweight    29.3      51      25        -26        38        -13  
    1   normal        20.05     43      44          1        35         -8  
    2   normal        24.72     38      25        -13        31         -7  
    2   underweight   17.55     42      32        -10        38         -4  
    1   normal        22.4      60      39        -21        61          1  
    1   normal        23.13     74      44        -30        61        -13  
    2   normal        20.45     53      20        -33        48         -5  
    2   underweight   15.79     32      25         -7        31         -1  
    2   normal        21.92     58      50         -8        48        -10  
    1   obese         32.89     63      57         -6        46        -17  
    2   normal        19.57     44      32        -12        38         -6  
    2   obese         34.96     73      61        -12        48        -25  
    1   normal        20.67     61      58         -3        46        -15  
    2   overweight    26.82     47      32        -15        38         -9  
    1   normal        24.25     50      32        -18        35        -15  
    1   normal        19.08     40      44          4        35         -5  
    1   normal        21.56     78      61        -17        61        -17  
    1   normal        21.55     52      32        -20        46         -6  
    2   normal        24.08     37      32         -5        38          1  
    1   normal        18.25     66      44        -22        46        -20  
    2   normal        19.88     39      44          5        38         -1  
    2   overweight    25.3      38      44          6        38          0  
    2   normal        23.76     78      61        -17        48        -30  
    1   normal        21.46     71      57        -14        46        -25  
    1   overweight    26.39     51      50         -1        46         -5  
    1   underweight   16.67     62      32        -30        46        -16  
    2   overweight    29.24     49      58          9        48         -1  
    1   underweight   17.97     55      50         -5        46         -9  
    1   normal        21.57     45      32        -13        46          1  
    1   normal        19.07     46      32        -14        46          0  
    2   normal        22.94     50      32        -18        38        -12  
    1   normal        19.15     28      12        -16        29          1  
    1   overweight    27.24     48      39         -9        61         13  
    2   obese         33.74     60      44        -16        60          0  
    2   overweight    27.46     64      32        -32        48        -16  
    1   obese         35.2      50      50          0        61         11  
    2   normal        23.33     45      44         -1        60         15  
    1   normal        22.19     59      32        -27        46        -13  
    1   overweight    28.7      40      32         -8        46          6  
    1   normal        23.62     78      61        -17        61        -17  
    1   underweight   16.38     78      44        -34        61        -17  
    2   normal        21.9      38      25        -13        31         -7  
    1   normal        19.52     72      32        -40        46        -26  
    1   normal        23.11     67      32        -35        46        -21  
    1   normal        18.97     55      44        -11        46         -9  
    2   normal        20.25     30      32          2        31          1  
    1   normal        18.76     55      32        -23        46         -9  
    2   normal        21.85     79      50        -29        60        -19  
    1   underweight   17.54     47      32        -15        35        -12  
    1   normal        22.81     20      32         12        23          3  
    1   normal        20.54     58      39        -19        46        -12  
    1   normal        21.13     53      39        -14        46         -7  
    1   normal        21.97     25      32          7        23         -2  
    1   overweight    26.58     35      32         -3        35          0  
    1   normal        23.52     60      32        -28        46        -14  
    1   normal        19.09     68      32        -36        61         -7  
    1   normal        23.97     49      32        -17        35        -14  
    2   normal        21.26     81      39        -42        48        -33  
    1   underweight   18.38     53      44         -9        46         -7  
    1   normal        23.53     63      57         -6        61         -2  
    1   normal        22.8      68      39        -29        61         -7  
    2   obese         37.87     38      25        -13        48         10  
    1   obese         31.01     59      44        -15        46        -13  
    2   overweight    26.51     57      57          0        60          3  
    1   normal        20.74     79      50        -29        61        -18  
    1   underweight   18.43     74      44        -30        46        -28  
    1   normal        22.45     60      57         -3        46        -14  
    1   normal        24.51     50      50          0        46         -4  
    1   underweight   16.29     48      44         -4        35        -13  
    1   overweight    28.48     46      44         -2        61         15  
    1   normal        20.15     73      50        -23        61        -12  
    2   underweight   15.28     37      25        -12        31         -6  
    1   underweight   14.62     72      57        -15        61        -11  
    1   normal        22.91     32      32          0        35          3  
    1   normal        23.64     36      44          8        35         -1  
    1   overweight    25.12     61      44        -17        46        -15  
    1   underweight   16.46     25      57         32        35         10  
    1   underweight   16.87     60      32        -28        46        -14  
    1   normal        21.22     58      44        -14        46        -12  
    1   underweight   17.4      32      32          0        46         14  
    1   overweight    28.64     63      44        -19        35        -28  
    1   normal        18.64     43      44          1        46          3  
    1   overweight    29.04     52      57          5        46         -6  
    1   overweight    25.76     74      50        -24        46        -28  
    1   normal        20.09     24      32          8        29          5  
    1   normal        24.29     35      25        -10        29         -6  
    1   normal        21.08     61      39        -22        46        -15  
    1   normal        24.75     62      32        -30        46        -16  
    1   overweight    26.74     52      50         -2        46         -6  
    2   normal        21.16     28      12        -16        25         -3  
    1   normal        19.58     39      57         18        35         -4  
    1   obese         30.83     54      50         -4        61          7  
    1   overweight    25.34     40      32         -8        46          6  
    1   normal        27.89     56      44        -12        61          5  
    2   overweight    26.58     43      32        -11        48          5  
    1   normal        20.96     28      32          4        23         -5  
    2   normal        19.38     45      44         -1        48          3  
    2   normal        19.21     73      44        -29        NA         NA  
    2   underweight   15.93     85      25        -60        60        -25  
    1   normal        22.08     70      32        -38        46        -24  
    2   underweight   17.97     77      25        -52        60        -17  
    1   normal        22.91     56      44        -12        61          5  
    1   normal        20.3      68      50        -18        46        -22  
    1   underweight   14.31     61      32        -29        35        -26  
    2   underweight   10.88     47      32        -15        38         -9  
    1   normal        21.87     66      44        -22        46        -20  
    2   underweight   14.02     60      32        -28        60          0  
    2   overweight    25.3      24      15         -9        25          1  
    1   normal        19.4      32      32          0        29         -3  
    2   obese         34.93     50      32        -18        60         10  
    1   underweight   16.8      45      32        -13        46          1  
    1   normal        20.59     63      50        -13        61         -2  
    1   overweight    25.11     49      44         -5        61         12  
    1   normal        23.4      35      50         15        46         11  
    2   normal        19.45     45      32        -13        25        -20  
    1   overweight    27.24     53      57          4        46         -7  
    1   overweight    28.3      71      58        -13        61        -10  
    1   normal        22.17     60      44        -16        46        -14  
    2   normal        19.92     54      32        -22        38        -16  
    1   underweight   17.25     76      44        -32        46        -30  
    1   normal        20.43     31      20        -11        29         -2  
    2   overweight    29.72     47      44         -3        38         -9  
    1   normal        22.62     37      44          7        35         -2  
    2   underweight   15.21     29      15        -14        38          9  
    1   normal        21.07     43      44          1        35         -8  
    1   normal        21.98     41      25        -16        35         -6  
    1   normal        23.21     56      39        -17        46        -10  
    2   normal        23.07     34      32         -2        38          4  
    2   normal        22.71     53      25        -28        48         -5  
    2   normal        19.15     79      66        -13        48        -31  
    1   normal        22.85     35      32         -3        35          0  
    2   normal        24.8      80      61        -19        60        -20  
    1   underweight   13.95     45      44         -1        46          1  
    1   underweight   16.25     81      32        -49        46        -35  
    1   overweight    25.9      35      32         -3        46         11  
    1   normal        22.96     44      32        -12        46          2  
    1   overweight    26.07     84      44        -40        61        -23  
    1   normal        24.04     36      39          3        35         -1  
    1   normal        19.13     65      50        -15        46        -19  
    1   normal        21.63     35      32         -3        35          0  
    1   normal        20.79     77      44        -33        61        -16  
    1   overweight    27.06     55      50         -5        46         -9  
    1   underweight   13.68     39      32         -7        35         -4  
    1   overweight    28.9      30      32          2        35          5  
    2   normal        20.07     76      50        -26        60        -16  
    1   normal        22.52     47      44         -3        46         -1  
    1   normal        24.3      76      39        -37        61        -15  
    2   normal        23.41     70      50        -20        48        -22  
    1   normal        23.05     43      44          1        46          3  
    1   normal        22.13     32      25         -7        35          3  
    1   underweight   14.46     52      32        -20        46         -6  
    1   normal        24.16     55      32        -23        35        -20  
    1   normal        22.81     47      39         -8        61         14  
    1   underweight   16.6      60      32        -28        46        -14  
    1   normal        24.41     69      44        -25        61         -8  
    1   normal        18.83     74      32        -42        61        -13  
    2   normal        20.9      73      32        -41        60        -13  
    2   normal        23.1      65      50        -15        48        -17  
    1   underweight   17.58     40      32         -8        46          6  
    2   overweight    28.1      31      25         -6        38          7  
